path,name,extension,size_bytes,created,modified,accessed
C:\POSAO VEGA\DependencyInjection\DependencyInjection\WeatherForecast.cs,WeatherForecast.cs,cs,299,2025-09-09 21:45:33.969351,2025-09-09 21:45:52.636760,2025-09-09 22:16:15.096215
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\appsettings.Development.json,appsettings.Development.json,json,127,2025-09-09 21:55:31.204874,2025-09-09 21:45:33.790858,2025-09-09 21:55:31.205874
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\appsettings.json,appsettings.json,json,151,2025-09-09 21:55:31.205874,2025-09-09 21:45:33.857425,2025-09-09 21:55:31.206875
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.deps.json,DependencyInjection.deps.json,json,1762,2025-09-09 21:55:31.408647,2025-09-09 21:55:31.481250,2025-09-09 22:16:07.661731
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.dll,DependencyInjection.dll,dll,9216,2025-09-09 21:55:31.929650,2025-09-09 22:16:07.042782,2025-09-09 22:16:08.066276
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.exe,DependencyInjection.exe,exe,146944,2025-09-09 21:55:31.206875,2025-09-09 22:16:07.050969,2025-10-21 16:07:24.181359
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.pdb,DependencyInjection.pdb,pdb,21656,2025-09-09 21:55:31.941374,2025-09-09 22:16:07.040743,2025-09-09 22:21:41.519034
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.runtimeconfig.json,DependencyInjection.runtimeconfig.json,json,416,2025-09-09 21:55:31.534659,2025-09-09 21:55:31.922290,2025-09-09 22:16:07.655399
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.staticwebassets.endpoints.json,DependencyInjection.staticwebassets.endpoints.json,json,51,2025-09-09 21:55:31.206875,2025-09-09 21:55:30.986725,2025-09-09 21:55:31.207875
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.AspNetCore.OpenApi.dll,Microsoft.AspNetCore.OpenApi.dll,dll,195352,2025-09-09 21:55:31.169016,2025-03-14 18:09:28.000000,2025-09-09 22:21:41.513376
